Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,Tarih
1-2,8-19 Eylül,"Bir Diyeceğim Var! (İletişim, Mektup, Dilekçe)",Trigonometri: Yönlü Açılar ve Birim Çember,Vektörler ve Bağıl Hareket,Modern Atom Teorisi: Kuantum Modeli,İnsan Fizyolojisi: Sinir Sistemi,Değişen Dünya Dengeleri Karşısında Osmanlı Siyaseti (1595-1774)
3-4,22 Eylül - 3 Ekim,"Kültür Yolculuğu (Türk Dünyası Edebiyatı, Orhun Abideleri)",Trigonometrik Fonksiyonlar ve Grafikleri,Newton'un Hareket Yasaları ve Uygulamaları,Periyodik Sistem ve Elektron Dizilimleri,Endokrin Sistem,Değişim Çağında Avrupa ve Osmanlı
5-6,6-17 Ekim,"Yaşamın İzinde (Roman, Biyografi)",Analitik Geometri: Doğrunun Analitik İncelenmesi,Bir Boyutta Sabit İvmeli Hareket,Periyodik Özellikler ve Yükseltgenme Basamakları,Duyu Organları,Uluslararası İlişkilerde Denge Stratejisi (1774-1914)
7-8,20-31 Ekim,"Hayatın Aynası (Tiyatro, Küçürek Hikâye)",Noktanın ve Doğrunun Analitiği,Enerji ve Hareket: İş-Güç-Enerji İlişkisi,Gazlar: Gaz Yasaları ve İdeal Gaz Denklemi,Destek ve Hareket Sistemi,Devrimler Çağında Değişen Devlet-Toplum İlişkileri
9,3-7 Kasım,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası
10,10-14 Kasım,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil
11-12,17-28 Kasım,Tema Tekrarı ve Proje Çalışmaları,Fonksiyonlarda Uygulamalar: Parabol,İtme ve Çizgisel Momentum,Sıvı Çözeltiler ve Çözünürlük,Sindirim Sistemi,Sermaye ve Emek
13-14,1-12 Aralık,Tema Tekrarı ve Proje Çalışmaları,İkinci Dereceden Fonksiyon Grafikleri ve Dönüşümler,Tork ve Denge,Derişim Birimleri ve Koligatif Özellikler,"Dolaşım Sistemi: Kalp, Damarlar, Kan",XIX. ve XX. Yüzyılda Değişen Gündelik Hayat
15-16,15-26 Aralık,Tema Tekrarı ve Proje Çalışmaları,Denklem ve Eşitsizlik Sistemleri,Kütle Merkezi ve Basit Makineler,Kimyasal Tepkimelerde Enerji: Entalpi,Bağışıklık Sistemi,Dönem Sonu Tekrarı
17-18,29 Aralık - 9 Ocak,Tema Tekrarı ve Proje Çalışmaları,İkinci Dereceden Eşitsizlikler,Elektriksel Kuvvet ve Elektrik Alan,Tepkime Isılarının Hesaplanması,Solunum Sistemi,Dönem Sonu Tekrarı
19,12-16 Ocak,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası
-,19-30 Ocak,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili
20-21,2-13 Şubat,Yeni Tema: Sözün Gücü,Çember ve Daire: Temel Elemanlar ve Açılar,Elektriksel Potansiyel ve İş,Kimyasal Tepkimelerde Hız,Üriner Sistem,Milli Mücadele
22-23,16-27 Şubat,Yeni Tema: Anlatının Dünyası,"Çemberde Teğet, Dairenin Çevresi ve Alanı",Düzgün Elektrik Alan ve Sığa,Tepkime Hızını Etkileyen Faktörler,Üreme Sistemi ve Embriyonik Gelişim,Türk İnkılabı
24-25,2-13 Mart,Yeni Tema: Sahnenin Büyüsü,Uzay Geometri: Katı Cisimler,Manyetizma ve Elektromanyetik İndüklenme,Kimyasal Denge,Komünite Ekolojisi,Atatürkçülük ve Türk İnkılabı
26,16-20 Mart,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil
27-28,23 Mart - 3 Nisan,Yeni Tema: Düşüncenin İzleri,Olasılık: Koşullu Olasılık,Alternatif Akım ve Transformatörler,Dengeyi Etkileyen Faktörler,Popülasyon Ekolojisi,İki Savaş Arası Dönemde Türkiye ve Dünya
29-30,6-17 Nisan,Proje ve Sunum Hazırlıkları,Deneysel ve Teorik Olasılık,Dönem Tekrarı,Asit-Baz Dengesi,Dönem Tekrarı,II. Dünya Savaşı
31-32,20 Nisan - 1 Mayıs,Proje ve Sunum Hazırlıkları,Dönem Tekrarı,Dönem Tekrarı,Çözünürlük Dengesi,Dönem Tekrarı,Soğuk Savaş Dönemi
33-34,4-15 Mayıs,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası
35-40,18 Mayıs - 26 Haziran,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları
